Title,Location,Completion Date,Company Closure Status,Description,Challenge,Hard Landscaping,Softscaping,Outcome,Photo 1,Caption 1,File Name 1,Photo 2,Caption 2,File Name 2,Photos Link
Marlborough Mews: A Tropical Microclimate - Small Tropical Garden Brixton,"Brixton SW2, London",May 2025,Completed prior to the closure of SAVAGELDN/Moonlight in May 2026.,"Demonstrated operational leadership in refurbishing a Brixton garden into a tropical sanctuary, utilising digital twin 3D modelling for spatial optimisation and managing complex stakeholder relationships to deliver a resort-inspired microclimate for our historic portfolio. Additionally, I designed immersive 3D walkthroughs and comprehensive 2D site plans detailing materials and layout specifications.","Navigated supply chain disruptions for exotic flora and ensured strict health & safety compliance, applying meteorological data to design a shaded tropical garden with proper soil depth and drainage.","Managed physical logistics and vendor management for reclaimed sleepers and Lugano clay pavers, ensuring structural engineering compliance and utilising Floorplanner.com spatial planning for ground-level beds and Spanish gold gravel finish.","Drawing from botanical expeditions in the Colombian Amazon, selected diverse palm species, Musa basjoo, and Tree ferns, tracking soil pH via ShootGardening.com to ensure jungle adaptations for exotic flora.","Delivered project with stringent quality assurance and successful risk management, resulting in a unique and private outdoor sanctuary with a 'holiday at home' vibe.",,Daytime view of the tropical garden featuring lush ferns and a wooden walkway.,marlborough-mews-tropical-garden-and-herringbone-paving.jpg,,Evening view highlighting the illuminated path and exotic foliage.,marlborough-mews-tropical-garden-night-cocktails.jpeg,View Photos
The Modern Cottage,"Greenwich SE10, London",September 2025,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Directed the operational delivery of a 'Modern Cottage' urban garden in Greenwich, leveraging digital twin 3D modelling to balance soft, romantic aesthetics with low-maintenance requirements, while managing stakeholder expectations for this historic project. As part of the design process, I produced full 2D site plans for layouts and materials, alongside realistic 3D walkthroughs.","Overcame supply chain disruptions for heritage materials while maintaining strict health & safety compliance, utilising meteorological data to ensure low-maintenance drift planting thrived in an urban context.","Coordinated physical logistics and vendor management for London Mixture Clay Pavers and Jackson's Fencing, ensuring structural engineering compliance for a new listed wall, aided by Floorplanner.com spatial planning.","Inspired by high-altitude flora in Nepal, selected Calamagrostis x acutiflora and Pittosporum balls, tracking soil pH via ShootGardening.com to ensure drought adaptations and sculptural winter structure for cottage plants.","Achieved project delivery through rigorous quality assurance and successful risk management, creating an urban Modern Cottage that reads soft and romantic without high upkeep.",,Daytime view of the romantic cottage garden with a stone path and vibrant blooms.,greenwich-modern-cottage-garden-overview.jpg,,Evening view showing the warm lighting along the garden path.,greenwich-modern-cottage-shade-planting-detail.jpg,View Photos
Pergola Walkway: A Modern Nocturnal Sanctuary,"Balham SW12, London",May 2025,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Led the operational transformation of a Balham garden featuring a ModBlox pergola, utilising digital twin 3D modelling for utility integration and managing complex stakeholder relationships to ensure seamless historic project execution. The design phase included creating detailed 3D walkthroughs and complete 2D site plans to map out materials and layout.","Managed supply chain disruptions for bespoke ModBlox components and enforced strict health & safety compliance during excavation, applying meteorological data to integrate drainage for level artificial turf.","Directed physical logistics and vendor management for a ModBlox pergola and Raj Green sandstone, ensuring structural engineering compliance for recessed drainage and utilising Floorplanner.com spatial planning for raised beds.","Leveraging botanical research in India, selected White Jasmine and Purple Clematis, tracking soil pH via ShootGardening.com to ensure drought adaptations for established climbing plants alongside premium artificial grass.","Delivered project with stringent quality assurance and successful risk management, resulting in a stunning Balham garden transformation featuring a ModBlox pergola and sandstone paving.",,Daytime view of the custom ModBlox pergola and sandstone paved walkway.,balham-pergola-walkway-design-visualisation.png,,Evening view of the secluded sanctuary with atmospheric pergola lighting.,balham-pergola-walkway-festoon-lights-at-night.jpg,View Photos
Jungle Garden Transformation,"Brixton SW2, London",May 2024,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Executed operational leadership for a dramatic urban overhaul in Brixton, using digital twin 3D modelling to design a multi-layered 'Jungle Sanctuary' and coordinating complex stakeholder relationships to deliver structural masonry for this historic project. I also developed in-depth 2D site plans for material selection and layout, coupled with engaging 3D walkthroughs.","Navigated supply chain disruptions for reclaimed masonry and ensured strict health & safety compliance during tiered wall construction, applying meteorological data to create a secluded, high-impact retreat.","Managed physical logistics and vendor management for reclaimed brick and natural stone, ensuring structural engineering compliance for tiered retaining walls, supported by Floorplanner.com spatial planning for bespoke timber seating.","Drawing from jungle expeditions in South America, selected dense, architectural planting including Silver Birch and Ferns, tracking soil pH via ShootGardening.com to ensure lush jungle adaptations for tropical-inspired softscaping.","Achieved project delivery through rigorous quality assurance and successful risk management, creating a vibrant, multi-layered 'Jungle Sanctuary' with tiered retaining walls.",,Daytime view of the tiered brick garden with bespoke timber seating.,brixton-urban-jungle-tree-ferns-and-integrated-bench.png,,Evening view showcasing the illuminated tropical-inspired planting and seating area.,brixton-urban-jungle-warm-evening-lighting.png,View Photos
Cottage Courtyard Garden,"Balham SW12, London",July 2025,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Managed the operational delivery of a child-friendly cottage courtyard in Balham, employing digital twin 3D modelling to optimise play space and navigating stakeholder relationships to ensure practical, safe outdoor living in this past project. Furthermore, the project featured custom 3D walkthroughs and precise 2D site plans to finalize layouts and materials.","Overcame supply chain disruptions for Dijon limestone and enforced strict health & safety compliance for child-safe features, utilising meteorological data to ensure practical, low-maintenance outdoor living.","Coordinated physical logistics and vendor management for Dijon tumbled limestone, ensuring structural engineering compliance for bespoke reclaimed brick planters, utilising Floorplanner.com spatial planning for raised seating.","Inspired by botanical research in the Himalayas, selected Siberian bugloss and giant allium, tracking soil pH via ShootGardening.com to ensure drought adaptations and low-maintenance resilience for child-safe plants.","Delivered project with stringent quality assurance and successful risk management, resulting in a practical, child-friendly outdoor living space combining beauty and functionality.",,Daytime view of the low-maintenance courtyard with tumbled limestone pavers.,balham-cottage-courtyard-dusk-lighting-and-alliums.jpg,,Evening view of the child-friendly paradise with integrated lighting.,balham-cottage-courtyard-evening-fire-pit.jpg,View Photos
The Gayville Road Zen Sanctuary (Sw11),"Balham SW11, London",June 2023,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Demonstrated operational leadership in delivering a high-end 'Nocturnal Sanctuary' in Balham within a strict deadline, utilising digital twin 3D modelling and managing stakeholder relationships to overcome site irregularities for this historic portfolio piece. To guide the build, I provided complete 2D site plans for layouts and materials, as well as dynamic 3D walkthroughs.","Managed supply chain disruptions for custom fencing materials under an accelerated deadline, ensuring strict health & safety compliance and applying meteorological data to overcome irregular brickwork.","Directed physical logistics and vendor management for shadow-gap fencing and Beige Sawn Indian Sandstone, ensuring structural engineering compliance for inbuilt rendered benches, aided by Floorplanner.com spatial planning.","Leveraging botanical expeditions in the Colombian Amazon, selected Dicksonia antarctica, Tetrapanax, and diverse palm species, tracking soil pH via ShootGardening.com to ensure jungle adaptations for a nocturnal sanctuary.","Achieved project delivery through rigorous quality assurance and successful risk management, completing a high-end 'Nocturnal Sanctuary' with custom shadow-gap fencing.",,Daytime view of the serene garden featuring custom shadow-gap fencing and sandstone paving.,gayville-balham-view-through-bifold-doors.jpg,,Evening view of the Nocturnal Sanctuary with seamlessly integrated lighting.,gayville-balham-built-in-bench-and-planting.jpg,View Photos
Dulwich Garden Transformation: A Luxury Nocturnal Sanctuary.,"Dulwich SE21, London",September 2024,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Directed the operational execution of a multi-zoned Dulwich garden, leveraging digital twin 3D modelling to manage natural elevations and coordinating complex stakeholder relationships to harmonise social areas with period architecture in this closed project. The conceptual work involved producing 3D walkthroughs and exact 2D site plans to define the material palette and layout.","Navigated supply chain disruptions for high-quality sandstone and ensured strict health & safety compliance during retaining wall construction, applying meteorological data to manage the garden's natural elevation.","Managed physical logistics and vendor management for reclaimed brick and high-quality sandstone, ensuring structural engineering compliance for retaining walls, supported by Floorplanner.com spatial planning for contemporary fencing.","Drawing from high-altitude research in Nepal, selected Betula utilis, Hydrangea, and ornamental grasses, tracking soil pH via ShootGardening.com to ensure drought adaptations and robust growth for multi-zoned softscaping.","Delivered project with stringent quality assurance and successful risk management, resulting in a multi-zoned garden with a formal dining terrace and integrated lighting.",,Daytime view of the multi-level Japanese-inspired sanctuary with sandstone paving.,dulwich-tiered-garden-planting-and-lighting.png,,Evening view highlighting the atmospheric fire pit terrace and lush planting.,dulwich-tiered-garden-evening-dining-and-entertaining.png,View Photos
Japanese Zen Garden Design,"Tooting Bec SW17, London",September 2023,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Demonstrated executive operational leadership and cross-functional team management in delivering a Japanese-inspired garden retreat in Tooting Bec, integrating digital twin 3D modelling and stakeholder alignment to execute complex pathing for this historic project. My design contributions encompassed full 2D site plans for spatial layouts and materials, plus interactive 3D walkthroughs.","Overcame supply chain disruptions for specialised gravels and enforced strict health & safety compliance during pathway construction, utilising meteorological data to create a serene, meditative escape.","Coordinated physical logistics and vendor management for Beige smooth planks and Spanish gold gravel, ensuring structural engineering compliance for curved pathways, utilising Floorplanner.com spatial planning for oak raised beds.","Inspired by botanical expeditions in India, selected Acer trees, shade-loving ferns, and textural groundcover, tracking soil pH via ShootGardening.com to ensure drought adaptations for layered evergreens and structural shrubs.","Achieved project delivery through rigorous quality assurance and successful risk management, creating a serene, Japanese-inspired Zen garden retreat with meandering gravel paths.",,Daytime view of the Zen retreat featuring a meandering gravel path and striking Acer trees.,tooting-bec-japanese-garden-gravel-path-and-climbers.jpg,,Evening view of the Japanese-inspired garden with serene nocturnal lighting.,tooting-bec-japanese-garden-seating-and-warm-night-lighting.jpg,View Photos
Clapham Old Town – Front & Rear Garden Renovation,"Clapham Old Town SW4, London",July 2025,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Executive operational leadership of a full garden renovation in Clapham Old Town, managing cross-functional teams and stakeholder coordination, utilising digital twin 3D modelling to deliver modern front and rear outdoor spaces in this historic portfolio piece. I created detailed 2D site plans outlining materials and layouts, supported by realistic 3D walkthroughs for client visualization.","Managed supply chain disruptions for premium porcelain paving and ensured strict health & safety compliance across dual work sites, applying meteorological data to guarantee year-round planting interest.","Directed physical logistics and vendor management for Kandla Grey porcelain and Lugano clay pavers, ensuring structural engineering compliance for bespoke brick walls, aided by Floorplanner.com spatial planning.","Leveraging botanical research in South America and the Himalayas, selected Musa basjoo, Fatsia, and Salvia, tracking soil pH via ShootGardening.com to ensure drought and jungle adaptations for front and rear spaces.","Delivered project with stringent quality assurance and successful risk management, resulting in a full garden renovation with new paving, brickwork, and raised beds.",,Daytime view of the sustainable garden with sleek Kandla Grey paving and bespoke fencing.,clapham-old-town-front-garden-porcelain-path-and-coping.png,,Evening view of the private sanctuary illuminated for year-round enjoyment.,clapham-old-town-tropical-seating-at-night.png,View Photos
Geometric Circles And Angles: A Tiered Garden Transformation,"Tooting Bec SW17, London",November 2024,Former SAVAGELDN & Moonlight Legacy Project (Concluded active trading operations May 2026),"Executive operational leadership of a garden refurbishment in Tooting Bec, integrating cross-functional team leadership and stakeholder management, using digital twin 3D modelling to deliver sustainable geometric hardscaping for this closed project. The planning stage was reinforced by my 3D walkthrough designs and comprehensive 2D site plans covering layouts and materials.","Navigated supply chain disruptions for bespoke oak sleepers and enforced strict health & safety compliance during masonry steps installation, utilising meteorological data for long-term sustainability.","Managed physical logistics and vendor management for Tumbled Multi-mint Indian Sandstone and bespoke oak sleepers, ensuring structural engineering compliance for new masonry steps, supported by Floorplanner.com spatial planning.","Drawing from botanical expeditions in the Andes, selected Magnolia grandiflora, Dryopteris erythrosora, and Helleborus niger, tracking soil pH via ShootGardening.com to ensure high-altitude and drought adaptations for diverse flora.","Achieved project delivery through rigorous quality assurance and successful risk management, creating a garden transformation featuring a circular lawn and bespoke oak sleeper raised beds.",,Daytime view of the tiered garden featuring Indian Sandstone paving and bespoke oak beds.,tooting-bec-geometric-garden-day.jpg,,Evening view of the cinematic sanctuary with vibrant illuminated planting.,tooting-bec-geometric-garden-night-lighting.png,View Photos
