"RelativePath","Length","LastWriteTime"
".archive-migration-backups\20260819-135544\src\routes\blog.tsx","13505","19/08/2026 14:10:56"
".archive-migration-backups\20260819-135544\src\routes\case-studies.tsx","14742","19/08/2026 14:10:57"
".archive-migration-backups\20260819-135544\src\routes\index.tsx","28622","19/08/2026 14:10:57"
"portfolio old coding\Balham Courtyard.txt","18259","20/08/2026 17:22:47"
"portfolio old coding\brixton.txt","16360","20/08/2026 17:20:56"
"portfolio old coding\clapham old town.txt","17309","20/08/2026 17:24:30"
"portfolio old coding\dulwich.txt","16739","20/08/2026 17:21:29"
"portfolio old coding\gayville.txt","11373","20/08/2026 17:19:49"
"portfolio old coding\geometric tooting bec.txt","17895","20/08/2026 17:25:01"
"portfolio old coding\greenwich.txt","14284","20/08/2026 17:20:26"
"portfolio old coding\marlbourgh mews.txt","18077","20/08/2026 17:19:12"
"portfolio old coding\pergola.txt","18528","20/08/2026 17:22:01"
"portfolio old coding\tooting zen japanase.txt","17057","20/08/2026 17:23:29"
"portfolio old coding\walworth.txt","17915","20/08/2026 17:23:57"
"public\images\blog\shoot-gardening-mood-board.jpg","169363","20/08/2026 18:34:55"
"public\images\portfolio\balham-cottage-courtyard-daytime-dining-and-raised-planters.jpg","588709","20/08/2026 18:34:55"
"public\images\portfolio\balham-cottage-courtyard-dusk-lighting-and-alliums.jpg","569224","20/08/2026 18:34:55"
"public\images\portfolio\balham-cottage-courtyard-evening-fire-pit.jpg","433143","20/08/2026 18:34:55"
"public\images\portfolio\balham-pergola-walkway-design-visualisation.png","2566145","20/08/2026 18:34:55"
"public\images\portfolio\balham-pergola-walkway-festoon-lights-at-night.jpg","2143529","20/08/2026 18:34:55"
"public\images\portfolio\brixton-urban-jungle-night-lighting-and-festoon-lights.png","10229197","20/08/2026 18:34:56"
"public\images\portfolio\brixton-urban-jungle-tree-ferns-and-integrated-bench.png","14037027","20/08/2026 18:34:56"
"public\images\portfolio\brixton-urban-jungle-warm-evening-lighting.png","8662932","20/08/2026 18:34:56"
"public\images\portfolio\clapham-old-town-front-garden-porcelain-path-and-coping.png","9254135","20/08/2026 18:34:56"
"public\images\portfolio\clapham-old-town-linear-led-wall-lighting.png","9137097","20/08/2026 18:34:56"
"public\images\portfolio\clapham-old-town-tropical-seating-at-night.png","10269874","20/08/2026 18:34:56"
"public\images\portfolio\dulwich-tiered-garden-evening-dining-and-entertaining.png","13032291","20/08/2026 18:34:56"
"public\images\portfolio\dulwich-tiered-garden-fire-bowl-and-seating.png","11870497","20/08/2026 18:34:56"
"public\images\portfolio\dulwich-tiered-garden-planting-and-lighting.png","7254546","20/08/2026 18:34:56"
"public\images\portfolio\gayville-balham-buddha-and-night-lighting.jpg","2438481","20/08/2026 18:34:56"
"public\images\portfolio\gayville-balham-built-in-bench-and-planting.jpg","2506786","20/08/2026 18:34:56"
"public\images\portfolio\gayville-balham-view-through-bifold-doors.jpg","1723684","20/08/2026 18:34:56"
"public\images\portfolio\greenwich-family-garden-playhouse-fruit-tree-and-lawn.png","1632105","20/08/2026 18:34:56"
"public\images\portfolio\greenwich-modern-cottage-garden-overview.jpg","244459","20/08/2026 18:34:56"
"public\images\portfolio\greenwich-modern-cottage-shade-planting-detail.jpg","600675","20/08/2026 18:34:56"
"public\images\portfolio\marlborough-mews-mature-tropical-planting-and-lighting.png","3029889","20/08/2026 18:34:56"
"public\images\portfolio\marlborough-mews-tropical-garden-and-herringbone-paving.jpg","651150","20/08/2026 18:34:57"
"public\images\portfolio\marlborough-mews-tropical-garden-night-cocktails.jpeg","3292895","20/08/2026 18:34:57"
"public\images\portfolio\marlborough-mews-tropical-gravel-path-at-night.jpg","356390","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-geometric-garden-cinematic-tour.mp4","45476012","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-geometric-garden-night-lighting.png","9027179","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-japanese-garden-gravel-path-and-climbers.jpg","1032552","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-japanese-garden-gravel-path-at-night.jpg","925195","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-japanese-garden-seating-and-warm-night-lighting.jpg","733919","20/08/2026 18:34:57"
"public\images\portfolio\tooting-bec-japanese-garden-wisteria-and-seating.jpg","908359","20/08/2026 18:34:57"
"public\images\portfolio\walworth-front-garden-slatted-bin-store-and-planting.jpg","2437594","20/08/2026 18:34:57"
"public\images\portfolio\walworth-rear-garden-privacy-planting-and-lighting.png","2428817","20/08/2026 18:34:57"
"skills\case-study-builder\SKILL.md","1093","19/08/2026 14:11:37"
"skills\linkedin-post-generator\SKILL.md","1177","19/08/2026 14:11:37"
"src\components\ArchivedArticleBody.tsx","6397","20/08/2026 19:05:52"
"src\data\blogArchive.generated.json","147240","20/08/2026 18:47:14"
"src\data\blogPosts.ts","10300","20/08/2026 18:34:57"
"src\lib\portfolio-data.ts","13010","20/08/2026 18:47:14"
"src\routes\blog.$slug.tsx","3649","20/08/2026 19:05:52"
"src\routes\blog.index.tsx","9399","20/08/2026 18:47:14"
"src\routeTree.gen.ts","10657","19/08/2026 14:35:37"
"workflow\ARCHIVE_MIGRATION.md","4481","19/08/2026 14:20:50"
"workflow\archive-migration-templates\blog.$slug.tsx","3641","19/08/2026 14:20:50"
"workflow\archive-migration-templates\blog.tsx","3897","19/08/2026 14:20:50"
"workflow\archive-migration-templates\blogPosts.ts","9212","19/08/2026 14:20:50"
"workflow\archive-migration-templates\case-studies.$slug.tsx","4773","19/08/2026 14:20:50"
"workflow\archive-migration-templates\case-studies.tsx","4690","19/08/2026 14:20:50"
"workflow\archive-migration-templates\caseStudies.ts","9305","19/08/2026 14:20:50"
"workflow\archive-migration-templates\vercel.json","4942","19/08/2026 14:20:50"
"workflow\migrate-archive-routes.ps1","14785","19/08/2026 14:20:50"
